rxn,flux,lb,ub
DB4PS_c,5.555555555555561e-06,0.0,1000.0
DHQTi_c,0.002863750000000002,0.0,1000.0
DHQS_c,0.0028637500000000026,0.0,1000.0
3DSPHR_r,7.96250000000001e-05,0.0,1000.0
DDPA_c,0.002863750000000002,0.0,1000.0
IPPMIa_c,-0.0036010277777777846,-1000.0,1000.0
IPMD_c,0.0036010277777777846,0.0,1000.0
MTMOHT_m,-9.944894118579465e-19,0.0,1000.0
PSCIT_c,0.002863750000000002,0.0,1000.0
MTAP_c,1.388888890182883e-06,0.0,1000.0
PRFGS_c,0.04060977359988165,0.0,1000.0
MTHFR3_c,0.002741388888897709,0.0,1000.0
ALAS_m,1.1111111111111124e-05,0.0,1000.0
MDRPD_c,1.3888888901828826e-06,0.0,1000.0
MTRI_c,1.3888888901828828e-06,-1000.0,1000.0
ACALDCD_c,0.1329328210863283,0.0,1000.0
KARA1i_m,0.00689634722222223,0.0,1000.0
ACLS_m,0.00689634722222223,0.0,1000.0
ACACT180i_x,1.2346828320940808e-18,0.0,1000.0
ACACT260i_x,2.6407319498640357e-16,0.0,1000.0
ACACT40ir_c,0.011451583333333331,0.0,1000.0
ACACT100i_x,-1.20213943997789e-18,0.0,1000.0
ACACT120i_x,-1.2021394399778901e-18,0.0,1000.0
ACGK_m,0.0036338888888888944,0.0,1000.0
ACOTAi_m,0.003633888888888894,0.0,1000.0
ACOAO260_x,2.6406218573933375e-16,0.0,1000.0
ACOAO160_x,1.2346828320940806e-18,0.0,1000.0
ACOAO180_x,1.234682832094081e-18,0.0,1000.0
ADD_c,6.877990469052927e-17,0.0,1000.0
ADPT_c,1.3888888889101906e-06,0.0,1000.0
ADNK1_c,0.0022274861111139742,0.0,1000.0
AHCi_c,0.0022274861111212236,0.0,1000.0
ADMDC_c,1.388888888889884e-06,0.0,1000.0
ADK1_c,0.32453703792658645,0.0,1000.0
ADK1_m,9.772667038586377e-14,0.0,1000.0
ADSL2i_c,0.04060977359988165,0.0,1000.0
ADSL1r_c,0.04065781526654873,-1000.0,1000.0
ADSS_c,0.040657815266548734,0.0,1000.0
ADSK_c,0.03982875971115396,0.0,1000.0
ALATRS_c,0.004392263888888891,0.0,1000.0
ANPRT_c,0.00029222222222222247,0.0,1000.0
ANS_c,0.00029222222222222247,0.0,1000.0
ARGSL_c,0.0017353194444444462,-1000.0,1000.0
ARGSS_c,0.0017353194444444464,-1000.0,1000.0
ARGTRS_c,0.001735319444444446,0.0,1000.0
ASNS1_c,0.0020859861111111122,0.0,1000.0
ASNTRS_c,0.0020859861111111127,0.0,1000.0
ASPCT_c,0.0014104722222222162,0.0,1000.0
ASPK_c,0.005665930555554249,0.0,1000.0
ASPTA_c,1.310580150290625,-1000.0,1000.0
ASAD_c,0.005665930555554249,0.0,1000.0
ASPTRS_c,0.0020859861111111127,0.0,1000.0
ATPPRT_c,0.0008676666666666673,0.0,1000.0
ATPASEP2e_c,0.25367378529979145,0.0,1000.0
C14STR_c,0.0010106527777777785,0.0,1000.0
C3STDH2_c,0.0010106527777777785,0.0,1000.0
C3STDH1_c,0.0010106527777777785,0.0,1000.0
C4STMO1_c,0.0010106527777777785,0.0,1000.0
C4STMO2_c,0.0010106527777777785,0.0,1000.0
C4STMO3_c,0.0010106527777777785,0.0,1000.0
C4STMO4_c,0.0010106527777777785,0.0,1000.0
C8STI_c,0.0010106527777777783,0.0,1000.0
CBPS_c,0.003145791666666662,0.0,1000.0
CAT_c,-4.972662245684064e-19,0.0,1000.0
CAT_x,1.0380500968617642e-15,0.0,1000.0
CERH124A_r,1.9906250000000026e-05,0.0,1000.0
CERH126A_r,1.990625000000004e-05,0.0,1000.0
CHTNS_c,0.0004566111111111114,0.0,1000.0
CHOLK_c,-3.370343326500471e-15,0.0,1000.0
CHLPCTD_c,-3.37035320335191e-15,0.0,1000.0
CHORM_c,0.0025715277777777798,0.0,1000.0
CHORS_c,0.002863750000000002,0.0,1000.0
FRTT_l,0.0002990833333333331,0.0,1000.0
GGTT_l,0.0002990833333333331,0.0,1000.0
PPTT_l,0.0002990833333333331,0.0,1000.0
PRENT6_l,0.0002990833333333331,0.0,1000.0
PRENT7_l,0.0002990833333333331,0.0,1000.0
PRENT8_l,0.0002990833333333331,0.0,1000.0
PRENT9_l,0.0002990833333333331,0.0,1000.0
PRENT10_l,0.0002990833333333331,0.0,1000.0
PRENT11_l,0.0002990833333333331,0.0,1000.0
PRENT12_l,0.0002990833333333331,0.0,1000.0
PRENT13_l,0.0002990833333333331,0.0,1000.0
PRENT14_l,0.00026585185185185164,0.0,1000.0
PRENT15_l,0.00023262037037037023,0.0,1000.0
PRENT16_l,0.0001993888888888888,-1000.0,1000.0
PRENT17_l,0.0001661574074074073,-1000.0,1000.0
PRENT18_l,0.00013292592592592582,0.0,1000.0
PRENT19_l,9.969444444444437e-05,0.0,1000.0
PRENT20_l,6.646296296296291e-05,0.0,1000.0
PRENT21_l,3.3231481481481456e-05,0.0,1000.0
CS_m,0.013557930555701732,0.0,1000.0
CPPPGO_c,1.3888888888888906e-06,0.0,1000.0
CTPS2_c,0.0009850138888888897,0.0,1000.0
CYSTS_c,0.002647944444446616,0.0,1000.0
CYSTGL_c,0.0026479444444466155,0.0,1000.0
CYSS_c,0.03666691248876524,0.0,1000.0
CYSTRS_c,6.29444444444445e-05,0.0,1000.0
LNS14DMy_c,0.0010106527777777785,0.0,1000.0
DCMPDA_c,6.76944444444445e-05,0.0,1000.0
DHFRi_c,6.908333333333349e-05,0.0,1000.0
DHFRi_m,3.73016333733347e-22,0.0,1000.0
DHORTS_c,-0.0014104722222222162,-1000.0,1000.0
DHAD1_m,0.006896347222222229,0.0,1000.0
DHAD2_m,0.0026479444444444463,0.0,1000.0
DMATT_c,0.002321777777777779,0.0,1000.0
DOLPMT_c,0.002232902777777779,0.0,1000.0
DTMPK_c,6.76944444444445e-05,0.0,1000.0
ENO_c,0.3334517116169441,-1000.0,1000.0
FACOAL120_x,-4.474260316276747e-18,0.0,1000.0
AFAT_c,1.38888888888889e-06,0.0,1000.0
FDH_c,0.38607528762947113,0.0,1000.0
FBA_c,0.23045465687939054,-1000.0,1000.0
FUM_m,-1.9698025470575266e-19,-1000.0,1000.0
FUM_c,0.08300290831087509,-1000.0,1000.0
DHORDfum_c,0.001410472222222216,0.0,1000.0
GRTT_c,0.002321777777777779,0.0,1000.0
G6PDH2i_c,0.1957185902673312,0.0,1000.0
PGI_c,0.09958244643468955,-1000.0,1000.0
GLUDy_c,0.43266940973704066,0.0,1000.0
GLNS_c,0.09428218608865864,0.0,1000.0
GF6PTA_c,0.001382527777777779,0.0,1000.0
GLNTRS_c,0.003479638888888891,0.0,1000.0
GLUTRS_c,0.003479638888888891,0.0,1000.0
GAPD_c,0.6343583380425654,-1000.0,1000.0
G3PD1r_c,0.0012501678774223285,-1000.0,1000.0
GARFT_c,0.040609773599881646,0.0,1000.0
GLYCL_m,0.21266684311468015,-1000.0,1000.0
GHMT2r_c,0.469951209829242,-1000.0,1000.0
GLYTRS_c,0.0039966388888888925,0.0,1000.0
GMPS2_c,0.0008196250000068982,0.0,1000.0
GTPCII2_c,2.77777777777778e-06,0.0,1000.0
GK1_c,0.0008873194444444456,0.0,1000.0
GK2_c,-6.76944444444445e-05,-1000.0,1000.0
HOMOX_m,1.38888888888889e-06,0.0,1000.0
HEMEOS_m,1.3888888888888902e-06,0.0,1000.0
HEX1_c,0.31969667559090964,0.0,1000.0
HISTD_c,0.0008676666666666671,0.0,1000.0
HISTP_c,0.0008676666666666671,0.0,1000.0
HSTPT_c,0.0008676666666666671,0.0,1000.0
HISTRS_c,0.0008676666666666672,0.0,1000.0
HACNH_m,0.002953652777777779,-1000.0,1000.0
HICITD_m,0.002953652777777779,0.0,1000.0
HSK_c,0.0025040833333311594,0.0,1000.0
HSERTA_c,0.0031618472222230986,0.0,1000.0
PPBNGD_c,1.3888888888888906e-06,0.0,1000.0
HMGCOAR_c,0.011451583333333336,0.0,1000.0
HMGCOAS_c,0.011451583333333333,0.0,1000.0
IG3PS_c,0.0008676666666666672,0.0,1000.0
IGPDH_c,0.0008676666666666671,0.0,1000.0
IGPS_c,0.00029222222222222247,0.0,1000.0
PPA_c,0.41252957541546037,0.0,1000.0
ICDHx_m,0.013557930555701732,0.0,1000.0
ILETA_m,-0.0026479444444444463,-1000.0,1000.0
ILETRS_c,0.0026479444444444467,0.0,1000.0
IPDDI_c,0.002321777777777779,-1000.0,1000.0
KARA2i_m,0.0026479444444444463,0.0,1000.0
AASADy_c,0.0029536527777777794,0.0,1000.0
LNSTLS_c,0.0010106527777777783,0.0,1000.0
LEUTA_c,-0.0036010277777777802,-1000.0,1000.0
LEUTRS_c,0.0036010277777777807,0.0,1000.0
LYSTRS_c,0.0029536527777777803,0.0,1000.0
MDH_m,1.4183893641572,-1000.0,1000.0
ME1_m,0.004381152777777787,0.0,1000.0
MAN1PT_c,0.007415930555555562,0.0,1000.0
MAN6PI_c,-0.007415930555555561,-1000.0,1000.0
METAT_c,0.0022302638888990023,0.0,1000.0
METS_c,0.002741388888897709,0.0,1000.0
METTRS_c,0.0005125138888888893,0.0,1000.0
MEVK4_c,0.011451583333333336,0.0,1000.0
DPMVD_c,0.011451583333333334,0.0,1000.0
AGPRi_m,0.0036338888888888944,0.0,1000.0
ACGAM6PS_c,0.0013825277777777787,-1000.0,1000.0
NADS2_c,2.777777777338477e-06,0.0,1000.0
NADHK1_c,1.3888888888017091e-06,0.0,1000.0
NAMNPP_c,2.7777777773384774e-06,0.0,1000.0
NDPK3_c,0.04215417516694132,0.0,1000.0
NDPK7_c,0.00010565277777777785,0.0,1000.0
NDPK5_c,0.00010565277777777785,0.0,1000.0
NDPK4_c,6.769444444444448e-05,0.0,1000.0
NDPK1_c,0.048787718044326515,0.0,1000.0
NDPK2_c,0.038640222222222236,0.0,1000.0
AHSERL2_c,0.0031618472222231103,0.0,1000.0
OCBT_c,0.0017353194444444464,0.0,1000.0
ORNDC_c,1.388888888889884e-06,0.0,1000.0
ORNTACi_m,0.0036338888888888935,0.0,1000.0
ORPT_c,-0.0014104722222222162,-1000.0,1000.0
OMPDC_c,0.0014104722222222162,0.0,1000.0
PTPAT_c,0.03925191248876138,0.0,1000.0
PNTK_c,0.03925191248876137,0.0,1000.0
PBAL_c,-9.943741959942792e-19,0.0,1000.0
FACOAE140_x,1.2346828320940816e-18,0.0,1000.0
PHETA1_c,-0.0016903750000000013,-1000.0,1000.0
PHETRS_c,0.0016903750000000013,0.0,1000.0
PRAIS_c,0.040609773599881646,0.0,1000.0
ACGAMPM_c,0.0013825277777777787,-1000.0,1000.0
PAPSR_c,0.03982875971115396,0.0,1000.0
PFK_c,0.23045465687939054,0.0,1000.0
GND_c,0.1957185902673312,0.0,1000.0
PGCD_c,0.3009066264256214,0.0,1000.0
PGK_c,0.6343583380425655,-1000.0,1000.0
PGM_c,0.3334517116169441,-1000.0,1000.0
PMANM_c,-0.007415930555555562,-1000.0,1000.0
PMEVK_c,0.011451583333333334,0.0,1000.0
PPNCL2_c,0.03925191248876137,0.0,1000.0
PPCDC_c,0.03925191248876138,0.0,1000.0
PPM_c,-1.0148006727550448e-15,-1000.0,1000.0
PRASCSi_c,0.04060977359988166,0.0,1000.0
PRAMPC_c,0.0008676666666666673,0.0,1000.0
PRATPP_c,0.0008676666666666673,0.0,1000.0
AIRC1_c,0.04060977359988165,0.0,1000.0
PRAGSi_c,0.04060977359988164,0.0,1000.0
GLUPRT_c,0.04060977359988164,0.0,1000.0
PSERT_c,0.30090662642562144,0.0,1000.0
POLYAO1_c,-1.5825314253330662e-22,0.0,1000.0
PPBNGS_1_c,5.555555555555562e-06,0.0,1000.0
POLYAO3_c,-9.943741959942792e-19,0.0,1000.0
PPNDH_c,0.0016903750000000011,0.0,1000.0
PPND2_c,0.0008811527777777784,0.0,1000.0
PROTRS_c,0.0018971805555555571,0.0,1000.0
PPPGO_m,6.944444444444453e-07,0.0,1000.0
PUNP3_c,-2.928401434214826e-16,-1000.0,1000.0
PUNP5_c,-1.0403096658980905e-15,-1000.0,1000.0
PC_c,0.04236563888903381,0.0,1000.0
PYRDC_c,0.2658656421726566,0.0,1000.0
PDH_m,0.01651158333347951,0.0,1000.0
PYK_c,0.327724211616883,0.0,1000.0
RBFK_c,1.38888888888889e-06,0.0,1000.0
RBFSa_c,5.55555555555556e-06,0.0,1000.0
RBFSb_c,2.77777777777778e-06,0.0,1000.0
RNDR1_c,6.769444444444448e-05,0.0,1000.0
RNDR3_c,0.00017334722222222233,0.0,1000.0
RNDR2_c,0.00010565277777777784,0.0,1000.0
RPI_c,0.11445289965581651,-1000.0,1000.0
RPE_c,0.24567556821680747,-1000.0,1000.0
SAM24MT_c,0.0010106527777777785,0.0,1000.0
SACCD2_c,0.00295365277777778,0.0,1000.0
SACCD1_c,0.0029536527777777794,0.0,1000.0
SERAT_c,0.036666912488765246,0.0,1000.0
SERPT_r,7.962500000000016e-05,0.0,1000.0
SERTRS_c,0.0023961805555555576,0.0,1000.0
SHK3Di_c,0.002863750000000002,0.0,1000.0
SHKK_c,0.0028637500000000026,0.0,1000.0
SQLEy_r,0.0010106527777777783,0.0,1000.0
SQLS_c,0.0010106527777777785,0.0,1000.0
SADT_c,0.039828759711153953,0.0,1000.0
SO3R_c,0.03982875971098835,0.0,1000.0
TMDPK_c,1.38888888888889e-06,0.0,1000.0
TRDR_c,0.04017545415559841,0.0,1000.0
THRS_c,0.0025040833333311594,0.0,1000.0
THRTRS_c,0.0025040833333333356,0.0,1000.0
TMDS_c,6.76944444444445e-05,0.0,1000.0
TALA_c,0.07126720938916387,-1000.0,1000.0
TPI_c,0.2292044890021998,-1000.0,1000.0
TRPS1_c,0.0002922222222222225,0.0,1000.0
TRPTRS_c,0.00029222222222222247,0.0,1000.0
TYRTA_c,0.0008811527777777786,-1000.0,1000.0
TYRTRS_c,0.0008811527777777784,0.0,1000.0
UAGDP_c,0.0013825277777777787,-1000.0,1000.0
UMPK_c,0.0017095555555555499,0.0,1000.0
UPPDC1_c,1.3888888888888904e-06,0.0,1000.0
UPP3S_c,1.3888888888888906e-06,0.0,1000.0
GALUi_c,0.024395638888888908,-1000.0,1000.0
VALTA_c,0.003601027777777784,-1000.0,1000.0
VALTA_m,-0.00689634722222223,-1000.0,1000.0
VALTRS_c,0.003295319444444447,0.0,1000.0
BTDt_c_e,0.1329328210863283,-1000.0,1000.0
2OXOADPt_c_m,0.002953652777777779,-1000.0,1000.0
4ABUTtps_e,7.20701323507597e-18,0.0,1000.0
ADEtps_e,-1.2039123563276228e-15,0.0,1000.0
ADPATPt_c_m,5.076727698362248,-1000.0,1000.0
NH4t_c_e,0.309663599933239,-1000.0,1000.0
AMPATPt_c_x,-4.4742603162767474e-18,0.0,1000.0
ASPGLUt_c_m,1.4048314336014984,0.0,1000.0
CHOLtps_e,-3.3703433265004707e-15,0.0,1000.0
FOLt_c_e,1.388888888888995e-06,-1000.0,1000.0
GLCt_c_e,0.3196966755909097,0.0,1000.0
GLYCtps_e,-2.5556766289490473e-05,-1000.0,1000.0
GUAtps_e,-6.897228156955168e-15,-1000.0,1000.0
INOSTtps_e,0.0006235138888888892,0.0,1000.0
FE2t_c_e,1.059722222222223e-05,0.0,1000.0
FE2t_c_m,1.3888888888888904e-06,0.0,1000.0
CYStps_e,-6.0543647931015904e-15,-1000.0,1000.0
GLUt_c_m,0.021204333333333502,0.0,1000.0
NADt2_m,-9.772667038586377e-14,0.0,1000.0
NACt_c_e,2.7777777773384774e-06,-1000.0,1000.0
ORNtpa_m,0.0017367083333333362,0.0,1000.0
PNTOtps_e,0.03925191248876137,-1000.0,1000.0
PItps_e,0.12475051524414989,-1000.0,1000.0
PItps_m,5.076727698362444,0.0,1000.0
