rxn,flux,lb,ub
RLFC2O_c,4.788992860511289,0.0,1000.0
13GS_c,0.09682060000000002,0.0,1000.0
16GS_c,0.0254791,0.0,1000.0
PRMICI_c,0.007317100000000001,0.0,1000.0
ACHBS_m,0.02233060000000001,0.0,1000.0
AATA_c,0.024908600000000006,-1000.0,1000.0
IPPMIb_c,-0.030367999999999996,-1000.0,1000.0
IPPS_m,0.03036799999999999,0.0,1000.0
HCITR_m,0.024908600000000003,-1000.0,1000.0
OMCDC_c,0.030368,0.0,1000.0
BPNT_c,0.004871799999997519,0.0,1000.0
DHQTi_c,0.0241504,0.0,1000.0
DHQS_c,0.024150400000000002,0.0,1000.0
3DSPHR_r,0.0004754000000000003,0.0,1000.0
DDPA_c,0.024150400000000002,0.0,1000.0
IPPMIa_c,-0.030367999999999996,-1000.0,1000.0
IPMD_c,0.030367999999999992,0.0,1000.0
PSCIT_c,0.024150400000000006,0.0,1000.0
PRFGS_c,0.009687099999956891,0.0,1000.0
MTHFR3_c,0.018010599999999998,0.0,1000.0
KARA1i_m,0.05815799999999999,0.0,1000.0
ACLS_m,0.058157999999999994,0.0,1000.0
ACOATA_m,2.9095841066258774e-17,-1000.0,1000.0
ACACT40ir_c,4.826633115573191,0.0,1000.0
ACACT40ir_m,0.024764099999999987,-1000.0,1000.0
ACCOAC_m,-1.742226333781658e-17,0.0,1000.0
ACCOAC_c,0.11644548906240003,0.0,1000.0
ACS_c,9.792657220208785,0.0,1000.0
ACGK_m,0.030633400000000012,0.0,1000.0
ACOTAi_m,0.03063340000000001,0.0,1000.0
STATg181_rm,0.00022580000000000004,-1000.0,1000.0
STATg161_rm,0.0006154999999999999,-1000.0,1000.0
ADNK1_c,0.0136886,0.0,1000.0
AHCi_c,0.013688599999999999,0.0,1000.0
ADK1_c,10.294536018054842,0.0,1000.0
ADK1_m,-8.116618359488041e-16,0.0,1000.0
ADSL2i_c,0.009687099999956893,0.0,1000.0
ADSL1r_c,0.012534199999956872,-1000.0,1000.0
ADSS_c,0.012534199999956872,0.0,1000.0
ADSK_c,0.004871799999998222,0.0,1000.0
ALATRS_c,0.0370407,0.0,1000.0
ALDD2y_c,9.787785420208785,0.0,1000.0
TRE6PS_c,0.0023398,0.0,1000.0
ANPRT_c,0.0024643000000000004,0.0,1000.0
ANS_c,0.002464300000000001,0.0,1000.0
ARGSL_c,0.014634300000000003,-1000.0,1000.0
